#OTUID	Interest
IKK_family	N
IL-17_signaling_pathway	Prior
IL1_receptor_family	N
IL10/28_receptor_family	N
IL17_receptor_family	N
IL2_receptor_family	N
IL3_receptor_family	N
IL6/12_receptor_family	N
Indole_alkaloid_biosynthesis	N
Inflammatory_bowel_disease_(IBD)	N
Inflammatory_mediator_regulation_of_TRP_channels	N
Influenza_A	N
Initiation_factors	N
Inner_mambrane	N
Inositol_phosphate_metabolism	N
Insect_hormone_biosynthesis	N
INSR_family	N
Insulin_resistance	N
Insulin_secretion	N
Insulin_signaling_pathway	Prior
Integrin_alpha_subunits	N
Integrin_beta_subunits	N
Inter_membrane_space	N
Interleukins	N
Intermediate_filaments	N
Intestinal_immune_network_for_IgA_production	Prior
Intracellular_proteins	N
Intramolecular_lyases	N
Intramolecular_oxidoreductases	N
Intramolecular_transferases	N
Ion_channels	N
IP3_receptor	N
IRAK_family	N
IRE_family	N
Isomerases_altering_macromolecular_conformation	N
Isoquinoline_alkaloid_biosynthesis	N
ITLN	N
JAK_family	N
Jak-STAT_signaling_pathway	N
Kaposi_sarcoma-associated_herpesvirus_infection	N
L1_family	N
Large_subunit_rRNA	N
Latrophilin	N
Lectins	N
Legionellosis	N
Leishmaniasis	N
Leukocyte_transendothelial_migration	N
Lewis_blood_group	N
LGALS1	N
LGALS2	N
LGALS3	N
LGALS4	N
LGALS7	N
LGALS8	N
LGALS9	N
Limonene_and_pinene_degradation	N
Linoleic_acid_metabolism	N
Lipid	N
Lipid_biosynthesis_proteins	N
Lipid_metabolism	Prior
Lipid_raft_mediated_endocytosis	N
Lipoic_acid_metabolism	N
LISK_family	N
"LMAN1,_ERGIC53"	N
"LMAN2,_VIP36"	N
"LMAN2L,_VIPL"	N
LMR_family	N
Long-term_depression	N
Long-term_potentiation	N
Long/very_long_chain_acyl-CoA_synthetase	N
Longevity_regulating_pathway	N
Longevity_regulating_pathway_-_multiple_species	N
Longevity_regulating_pathway_-_worm	N
LPAAT/LPLAT	N
LPL	N
LRRK_family	N
LY6D_E_G6_H	N
Lysine_biosynthesis	N
Lysine_degradation	N
Lysosome	N
M6PR	N
Macropinocytosis	N
Major_cadherins	N
Malaria	N
Mannose_type_O-glycan_biosynthesis	N
MAPK_family	N
MAPK_signaling_pathway	Prior
MAPK_signaling_pathway_-_fly	N
MAPK_signaling_pathway_-_plant	N
MAPK_signaling_pathway_-_yeast	N
MAPKAPK_family	N
MAST_family	N
Matrix	N
Maturity_onset_diabetes_of_the_young	N
Maxi_chloride_channel_(VDAC)	N
MCAM	N
MDP-1	N
Measles	N
Mechanosensitive_channel_(Piezo)	N
Meiosis_-_yeast	N
Meiosis-specific_sister_chromatid_cohesion_proteins	N
Melanogenesis	N
Melanoma	N
Membrane_trafficking	N
Messenger_RNA_biogenesis	N
MET_family	N
Metabolism_of_xenobiotics_by_cytochrome_P450	N
Methane_metabolism	N
Mg2+-_or_Mn2+-_dependent_protein_phosphatases_(PPMs)	N
MHC1	N
MicroRNAs_in_cancer	N
Microtubules	N
Mineral_absorption	N
Minor_spliceosome_components	N
miRNA	N
Mismatch_repair	N
Mitochondria/_Chloroplast	N
Mitochondrial_biogenesis	N
Mitochondrial_DNA_replication_factors	N
Mitochondrial_DNA-encoded_proteins	N
Mitochondrial_dynamics	N
Mitochondrial_respiratory_chain_complex_assembly_factors	N
Mitochondrial_transcription_and_translation_factors	N
Mitophagy	N
Mitophagy_-_animal	N
Mitophagy_-_yeast	N
Mitophagy_factors	N
MLCK_family	N
MLK_family	N
Monobactam_biosynthesis	N
Morphine_addiction	N
Morphogens	N
mRNA_degradation_factors	N
mRNA_processing_factors	N
mRNA_surveillance_and_transport_factors	N
mRNA_surveillance_pathway	N
mTOR_signaling_pathway	Prior
Mucin_type_O-glycan_biosynthesis	N
Mucin-type	N
Mucins	N
Multi_subunit_Ring-finger_type_E3	N
N-Glycan	N
N-Glycan_biosynthesis	N
N-linked_oligosaccharide	N
NADPH_oxidases_(Nox)_and_associated_proteins	N
NAK_family	N
Naphthalene_degradation	N
Natural_killer_cell_mediated_cytotoxicity	N
"NCAM,_CD56"	N
NCAM1/2	N
NDR_family	N
Necl_family	N
Necroptosis	N
Nectin_family	N
NEK_family	N
"Neomycin,_kanamycin_and_gentamicin_biosynthesis"	N
Neuroactive_ligand-receptor_interaction	N
Neuroplastin	N
Neurotrophin_signaling_pathway	N
NF-kappa_B_signaling_pathway	N
Nicotinate_and_nicotinamide_metabolism	N
Nicotine_addiction	N
Nitrogen_metabolism	N
Nitrotoluene_degradation	N
NKF1_family	N
NKF2_family	N
NKF3_family	N
NKF4_family	N
NKF5_family	N
NOD-like_receptor_signaling_pathway	N
NOD-like_receptors	N
Non-alcoholic_fatty_liver_disease_(NAFLD)	N
Non-coding_RNAs	N
Non-homologous_end-joining	N
Non-small_cell_lung_cancer	Prior
Notch_signaling_pathway	N
NRBP_family	N
"NT5E,_CD73"	N
Nuclear_receptors	N
Nucleosome_assembly_factors	N
Nucleotide_excision_repair	N
Nucleotide_metabolism	N
O-Glycan	N
O-linked_Fuc_type	N
O-linked_Gal_type	N
O-linked_Glc_type	N
O-linked_GlcNAc_type	N
O-linked_Man_type	N
Olfactory_transduction	N
Omega	N
One_carbon_pool_by_folate	N
Oocyte_meiosis	N
Organic_acid_transporters	N
Orphan_GPRC5	N
OS9	N
Osteoclast_differentiation	N
Other	N
Other_autophagy_associated_proteins	N
Other_basic_domains	N
Other_components	N
Other_factors_with_a_suspected_DNA_repair_function	N
Other_glycan_degradation	N
Other_glycosyltransferases	N
Other_HAD_phosphatases	N
Other_lyases	N
Other_peptidases	N
Other_ribosome_biogenesis_factors	N
Other_snoRNA	N
Other_transcription_factors	N
Other_types_of_O-glycan_biosynthesis	N
Others	N
Outer_membrane	N
Ovarian_steroidogenesis	N
OVGP1	N
Oxidative_phosphorylation	N
Oxidizing_metal_ions	N
Oxytocin_signaling_pathway	N
P_blood_group	N
P0	N
p53_signaling_pathway	Prior
Pancreatic_cancer	N
Pancreatic_secretion	N
Pantothenate_and_CoA_biosynthesis	N
Papain_family	N
"Parathyroid_hormone_synthesis,_secretion_and_action"	N
Parkinson_disease	N
Pathogenic_Escherichia_coli_infection	N
Pathways_in_cancer	Prior
Pattern_recognition_receptors	N
PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer	N
PDGFR_family	N
PDHK_family	N
PDK1_family	N
"PECAM1,_CD31"	N
PEK_family	N
Pentose_and_glucuronate_interconversions	N
Pentose_phosphate_pathway	N
Peptidases	N
Peptide	N
Peptidyl_prolyl_isomerase	N
Peroxisome	N
Pertussis	N
Pexophagy	N
Phagocytosis	N
Phagosome	N
Phenylalanine_metabolism	N
"Phenylalanine,_tyrosine_and_tryptophan_biosynthesis"	N
Phenylpropanoid_biosynthesis	N
PHK_family	N
Phosphate_and_organophosphate_transporters	N
Phosphatidylinositol_signaling_system	N
Phospholipase_D_signaling_pathway	N
Phosphonate_and_phosphinate_metabolism	N
Phosphoprotein_phosphatases_(PPPs)	N
Phosphorus-oxygen_lyases	N
Phototransduction	N
Phototransduction_-_fly	N
PI3K-Akt_signaling_pathway	Prior
PIKK_family	N
PIM_family	N
PKA_family	N
PKC_family	N
PKD_family	N
PKG_family	N
PKN_family	N
Plant-pathogen_interaction	N
Platelet_activation	N
Platinum_drug_resistance	N
"PLAUR,_CD87"	N
PLK_family	N
Polyketide_sugar_unit_biosynthesis	N
Pores_ion_channels	N
Porphyrin_and_chlorophyll_metabolism	N
"Potassium_channel,_calcium-_and_sodium-activated_(KCa/KNa)"	N
"Potassium_channel,_inwardly-rectifying_(Kir)"	N
"Potassium_channel,_two-pore_domain_(K2P)"	N
"Potassium_channel,_voltage-gated_(Kv)"	N
PPAR_signaling_pathway	N
Pre-40S_particles	N
Pre-60S_particles	N
Prenyl_diphosphate_synthase	N
Prenyltransferases	N
Primary_active_transporters	N
Primary_bile_acid_biosynthesis	N
Primary_immunodeficiency	N
Prion_diseases	N
PRKCSH	N
"PRNP,_PrP,_CD230"	N
Prodigiosin_biosynthesis	N
Progesterone-mediated_oocyte_maturation	N
Prokaryotic_defense_system	N
Prokaryotic_Sec-SRP_core_components	N
Prolactin_receptor_family	N
Prolactin_signaling_pathway	N
Propanoate_metabolism	N
Prostate_cancer	N
Proteasome	N
Proteasome_interacting_proteins_(PIPs)	N
Protein_digestion_and_absorption	N
Protein_disulfide_isomerase	N
Protein_export	N
Protein_kinases	N
Protein_phosphatases_and_associated_proteins	N
Protein_processing	N
Protein_processing_in_endoplasmic_reticulum	N
Protein_transporters	N
Proteins_found_in_most_exosomes	N
Proteins_involved_in_snRNP_biogenesis	N
Proteoglycans	N
Proteoglycans_in_cancer	N
Protocadherins	N
Protoheme_farnesyltransferase	N
"Proton_channel,_voltage-gated_(Hv)"	N
Proximal_tubule_bicarbonate_reclamation	N
PRSS8	N
PSK_family	N
PUFA	N
Purine_metabolism	N
Pyrimidine_metabolism	N
Pyruvate_metabolism	N
Quality_control	N
Quorum_sensing	N
Rab_Family	N
Rab_geranylgeranyltransferase	N
Rab_GTPases_and_associated_proteins	N
Rab_GTPases_of_specific_organelles	N
Racemases_and_epimerases	N
RAD53_family	N
RAF_family	N
Ran_Family	N
Rap1_signaling_pathway	N
Ras_Family	N
Ras_signaling_pathway	Prior
RCK_family	N
Regulation_of_actin_cytoskeleton	N
Regulation_of_lipolysis_in_adipocytes	N
Regulator_of_mitochondrial_biogenesis	N
Regulatory_particles	N
Relaxin_signaling_pathway	N
Release_factors	N
Renal_cell_carcinoma	N
Renin_secretion	N
Renin-angiotensin_system	N
Replication_and_repair	N
RET_family	N
Retinol_metabolism	N
Retrieval_pathways	N
Retrograde_endocannabinoid_signaling	N
RGC_family	N
Rheumatoid_arthritis	N
Rho_Family	N
Rho_GTPase_associated_proteins	N
Riboflavin_metabolism	N
Ribosome	N
Ribosome_biogenesis	N
Ribosome_biogenesis_in_eukaryotes	N
RIG-I-like_receptor_signaling_pathway	N
RIG-I-like_receptors	N
RIO_family	N
RIPK_family	N
RNA_degradation	N
RNA_polymerase	N
RNA_polymerase_I_system	N
RNA_polymerase_II_system	N
RNA_polymerase_III_system	N
RNA_transport	N
ROBO_family	N
rRNA_modification_factors	N
rRNA_processing_factors	N
RSK_family	N
"RTN4R,_NGR"	N
Ryanodine_receptor	N
RYK_family	N
S_particles	N
Salivary_secretion	N
Salmonella_infection	N
SCY1_family	N
Secretion_system	N
Selectin_family	N
Selenocompound_metabolism	N
Septins	N
Serotonergic_synapse	N
Sesquiterpenoid_and_triterpenoid_biosynthesis	N
SGK_family	N
Shigellosis	N
Short/medium_chain_acyl-CoA_synthetase	N
Sialyltransferase	N
Sidekick_1/2	N
SIGLEC10	N
"SIGLEC12,_SIGLECL1"	N
"SIGLEC5_14,_CD170"	N
"SIGLEC7,_CD328"	N
"SIGLEC9,_CD329"	N
Signaling_pathways_regulating_pluripotency_of_stem_cells	N
Signaling_proteins	N
Single_Ring-finger_type_E3	N
SIRP_family	N
Sister_chromatid_cohesion_proteins	N
Sister_chromatid_separation_proteins	N
SLC1:_High-affinity_glutamate_and_neutral_amino_acid_transporter	N
SLC10:_Sodium_bile_salt_cotransporter	N
SLC11:_Proton-coupled_metal_ion_transporter	N
SLC12:_Electroneutral_cation-coupled_Cl_cotransporter	N
SLC13:_Human_Na+-sulfate/carboxylate_cotransporter	N
SLC15:_Proton_oligopeptide_cotransporter	N
SLC16:_Monocarboxylate_transporter	N
SLC17:_Vesicular_glutamate_transporter	N
SLC18:_Vesicular_amine_transporter	N
SLC19:_Folate/thiamine_transporter	N
SLC2:_Facilitative_GLUT_transporter	N
SLC20:_Type_III_Na+-phosphate_cotransporter	N
SLC21/ASLCO:_Organic_anion_transporter	N
SLC22:_Organic_cation/anion/zwitterion_transporter	N
SLC23:_Na+-dependent_ascorbic_acid_transporter	N
SLC24:_Na+/(Ca2+-K+)_exchanger	N
SLC25:_Mitochondrial_carrier	N
SLC26:_Multifunctional_anion_exchanger	N
SLC27:_Fatty_acid_transporter	N
SLC28:_Na+-coupled_nucleoside_transporter	N
SLC29:_Facilitative_nucleoside_transporter	N
SLC3:_Heavy_subunits_of_the_heteromeric_amino_acid_transporters	N
SLC30:_Zinc_efflux_transporter	N
SLC31:_Copper_transporter	N
SLC33:_Acetyl-CoA_transporter	N
SLC34:_Type_II_Na+-phosphate_cotransporter	N
SLC35:_Nucleoside-sugar_transporter	N
SLC36:_Proton-coupled_amino_acid_transporter	N
SLC37:_Sugar-phosphate/phosphate_exchanger	N
SLC38:_System_A_and_System_N_sodium-coupled_neutral_amino_acid_transporter	N
SLC39:_Metal_ion_transporter	N
SLC4:_Bicarbonate_transporter	N
SLC40:_Basolateral_iron_transporter	N
SLC41:_MgtE-like_magnesium_transporter	N
"SLC43:_Na+-independent,_system-L-like_amino_acid_transporter"	N
SLC44:_Choline-like_transporter	N
SLC45:_H+/sugar_cotransporter	N
SLC46:_Folate_transporter	N
SLC47:_Multidrug_and_Toxin_Extrusion_(MATE)_family	N
SLC48:_Heme_transporter	N
SLC49:_FLVCR-related_transporter	N
SLC5:_Sodium_glucose_cotransporter	N
SLC50:_Sugar_efflux_transporter	N
SLC51:_Transporter_of_steroid-derived_molecules	N
SLC52:_Riboflavin_transporter	N
SLC54:_Mitochondrial_pyruvate_carrier	N
SLC56:_Sideroflexin	N
SLC57:_NiPA-like_magnesium_transporter	N
SLC58:_MagT-like_magnesium_transporter	N
SLC6:_Sodium-_and_chloride-dependent_neurotransmitter_transporter	N
SLC62:_Pyrophosphate_transporter	N
SLC65_NPC-type_cholesterol_transporter	N
SLC7:_Cationic_amino_acid_transporter/glycoprotein-associated	N
SLC8:_Na+/Ca2+_exchanger	N
SLC9:_Na+/H+_exchanger	N
Slob_family	N
Small_cell_lung_cancer	N
Small_GTPases_and_associated_proteins	N
Small_leucine-rich_proteoglycan_(SLRP)_family	N
SMO	N
"SN,_SIGLEC1,_CD169"	N
"SNAP-25_(Qb,c)"	N
SNAP-25_(Qb)	N
SNAP-25_(Qc)	N
SNARE_associated_proteins	N
SNARE_interactions_in_vesicular_transport	N
Sno_RNPs	N
"Sodium_channel,_voltage-gated_(Nav)"	N
"SPACA4,_SAMP14"	N
Sphingolipid	N
Sphingolipid_metabolism	N
Sphingolipid_signaling_pathway	N
Spliceosome	N
Spliceosome_associated_proteins_(SAPs)	N
Squalene/phytoene_synthase	N
SRC_family	N
SRPK_family	N
SSBR_(single_strand_breaks_repair)	N
Staphylococcus_aureus_infection	N
Starch_and_sucrose_metabolism	N
STE11_family	N
STE20_family	N
STE7_family	N
Steroid_biosynthesis	N
Steroid_hormone_biosynthesis	N
Sti1_/_p60	N
Storage_polysaccharide	N
Streptomycin_biosynthesis	N
Structural_proteins	N
Styrene_degradation	N
Subtilisin_family	N
Sugar_transporters	N
Sulfotransferases	N
Sulfur_metabolism	N
Sulfur_modification_proteins	N
Sulfur_relay_system	N
SYK_family	N
Synaptic_vesicle_cycle	N
Syndecan_family_(transmembrane_HSPG)	N
Syntaxin_(Qa)	N
Synthesis_and_degradation_of_ketone_bodies	Prior
Systemic_lupus_erythematosus	N
T_cell_receptor_signaling_pathway	N
TAF1_family	N
Taste_transduction	N
Taurine_and_hypotaurine_metabolism	N
TBCK_family	N
TEC_family	N
Terpenoid_backbone_biosynthesis	N
Tethering_complex	N
TGF-beta_signaling_pathway	Prior
TGFBR1_family	N
TGFBR2_family	N
Th1_and_Th2_cell_differentiation	N
Th17_cell_differentiation	Prior
Thermogenesis	N
Thiamine_metabolism	N
Thyroid_cancer	N
Thyroid_hormone_signaling_pathway	N
Thyroid_hormone_synthesis	N
TIF1_family	N
Tight_junction	Prior
TLK_family	N
TLS_(translesion_DNA_synthesis)_factors	N
TMEM25	N
TNF_receptor_superfamily	N
TNF_signaling_pathway	N
Toll_and_Imd_signaling_pathway	N
Toll-like_receptor_signaling_pathway	N
Toll-like_receptors	N
Toluene_degradation	N
TOPK_family	N
Toxoplasmosis	N
Transcription	N
Transcription_factors	N
Transcription_machinery	N
Transcriptional_misregulation_in_cancer	N
Transfer_RNA_biogenesis	N
Transferring_aldehyde_or_ketonic_groups	N
"Transferring_alkyl_or_aryl_groups,_other_than_methyl_groups"	N
Transferring_molybdenum-_or_tungsten-containing_groups	N
Transferring_nitrogenous_groups	N
Transferring_one-carbon_groups	N
Transferring_phosphorus-containing_groups	N
Transferring_selenium-containing_groups	N
Transferring_sulfur-containing_groups	N
Transforming_growth_factors_(RSTK_binding)	N
Transient_receptor_potential_channel_(TRP)	N
Translation	N
Translation_factors	N
Transmembrane_electron_carriers	N
Transport	N
Transporters	N
Trbl_family	N
Trio_family	N
TRK_family	N
tRNA_degradation_factors	N
tRNA_dimethylallyltransferase	N
tRNA_modification_factors	N
tRNA_spricing_factors	N
tRNA_transport_factors	N
"Tropane,_piperidine_and_pyridine_alkaloid_biosynthesis"	N
Tryptophan_metabolism	N
TSSK_family	N
TTBK_family	N
TTK_family	N
Tuberculosis	N
Tumor_necrosis_fators	N
Two-component_system	N
Type_2_chain/Poly-N-acetyllactosamine	N
Type_3_chain	N
Type_I_diabetes_mellitus	N
Type_II_diabetes_mellitus	N
Type_II_R-M_system	N
Type_II_TA_system	N
Tyrosine_metabolism	N
U-box_type_E3	N
U1_snRNP_components	N
U2_snRNP_components	N
U4/U6U5_tri-snRNP_components	N
Ubiquinone_and_other_terpenoid-quinone_biosynthesis	N
Ubiquitin_activating_enzyme	N
Ubiquitin_mediated_proteolysis	N
Ubiquitin_system	N
Ubiquitin-conjugating_enzymes	N
Ubiquitin-like_proteins_(UBLs)	N
Ubiquitin-specific_proteases_(UBPs)	N
Ubiquitins	N
UBL_E3_ligases	N
UBL-activating_enzymes	N
UBL-conjugating_enzymes	N
UBL-specific_proteases_(ULPs)	N
ULK_family	N
Unclassified	N
Unknown	N
Unknown_transporters	N
"Valine,_leucine_and_isoleucine_biosynthesis"	N
"Valine,_leucine_and_isoleucine_degradation"	N
"VAMP,_Ykt6,_Sec22_(R)"	N
Various_types_of_N-glycan_biosynthesis	N
Vascular_smooth_muscle_contraction	N
Vasopressin-regulated_water_reabsorption	N
VEGF_signaling_pathway	Prior
VEGFR_family	N
Vibrio_cholerae_infection	N
Viral_carcinogenesis	N
Viral_myocarditis	N
Viral_protein_interaction_with_cytokine_and_cytokine_receptor	N
Vision	N
Vitamin_B6_metabolism	N
Vitamin_digestion_and_absorption	N
VPS15_family	N
VRK_family	N
WEE_family	N
Wide_specificity	N
Wnk_family	N
Wnt_signaling_pathway	Prior
Xenophagy	N
YANK_family	N
Yersinia_infection	N
Zeatin_biosynthesis	N
Zinc_finger	N
